timestamp,server_id,cpu_usage,memory_usage,disk_io,network_io,task_duration,priority,outside_temperature,cooling_efficiency,power_usage,temperature,thermal_status
2026-01-01T06:35:00,server_019,52.00,43.00,137.00,383.00,31.00,1,22.39,0.82,393.00,38.70,Warning
2026-01-01T06:40:00,server_017,60.00,54.00,138.00,432.00,122.00,3,22.97,0.75,475.00,41.94,Warning
2026-01-01T06:45:00,server_011,52.00,49.00,106.00,283.00,27.00,2,23.11,0.83,430.00,40.10,Warning
2026-01-01T06:50:00,server_020,38.00,48.00,162.00,244.00,14.00,1,25.74,0.78,346.00,37.35,Warning
2026-01-01T06:55:00,server_048,52.00,43.00,239.00,146.00,109.00,3,23.72,0.72,439.00,40.79,Warning
2026-01-01T07:00:00,server_022,45.00,44.00,176.00,325.00,33.00,3,26.59,0.79,418.00,41.75,Warning
2026-01-01T07:05:00,server_010,52.00,47.00,125.00,281.00,69.00,1,25.90,0.73,408.00,41.15,Warning
2026-01-01T07:10:00,server_030,48.00,43.00,172.00,285.00,36.00,2,26.33,0.78,409.00,41.97,Warning
2026-01-01T07:15:00,server_003,51.00,57.00,193.00,298.00,53.00,1,26.43,0.79,424.00,42.08,Warning
2026-01-01T07:20:00,server_019,45.00,41.00,152.00,253.00,78.00,2,25.76,0.74,403.00,39.47,Warning
2026-01-01T07:25:00,server_018,52.00,43.00,149.00,293.00,145.00,1,25.15,0.77,399.00,39.70,Warning
2026-01-01T07:30:00,server_002,66.00,62.00,188.00,272.00,44.00,2,25.92,0.76,515.00,45.63,Critical
2026-01-01T07:35:00,server_032,54.00,60.00,116.00,258.00,49.00,2,24.96,0.74,454.00,41.58,Warning
2026-01-01T07:40:00,server_028,44.00,37.00,120.00,292.00,72.00,2,25.73,0.77,387.00,39.16,Warning
2026-01-01T07:45:00,server_044,50.00,50.00,227.00,415.00,36.00,3,26.99,0.79,458.00,42.42,Warning
2026-01-01T07:50:00,server_011,51.00,43.00,120.00,223.00,104.00,3,27.14,0.77,443.00,42.10,Warning
2026-01-01T07:55:00,server_021,45.00,46.00,159.00,234.00,67.00,3,25.33,0.77,419.00,40.66,Warning
2026-01-01T08:00:00,server_027,55.00,49.00,116.00,198.00,38.00,3,26.45,0.78,456.00,42.60,Warning
2026-01-01T08:05:00,server_022,51.00,42.00,119.00,220.00,106.00,1,28.08,0.78,408.00,39.62,Warning
2026-01-01T08:10:00,server_014,54.00,44.00,174.00,356.00,38.00,3,27.00,0.75,441.00,42.45,Warning
2026-01-01T08:15:00,server_008,65.00,70.00,191.00,439.00,25.00,1,27.70,0.80,510.00,46.00,Critical
2026-01-01T08:20:00,server_019,68.00,53.00,294.00,415.00,48.00,3,27.63,0.76,526.00,46.51,Critical
2026-01-01T08:25:00,server_005,53.00,42.00,202.00,185.00,45.00,2,27.89,0.79,424.00,41.53,Warning
2026-01-01T08:30:00,server_011,54.00,53.00,225.00,190.00,124.00,2,27.78,0.79,450.00,43.71,Warning
2026-01-01T08:35:00,server_005,54.00,45.00,162.00,365.00,40.00,2,28.88,0.78,434.00,41.50,Warning
2026-01-01T08:40:00,server_028,58.00,59.00,226.00,396.00,42.00,3,28.22,0.72,513.00,45.97,Critical
2026-01-01T08:45:00,server_020,47.00,42.00,160.00,262.00,48.00,2,28.64,0.86,402.00,40.57,Warning
2026-01-01T08:50:00,server_009,53.00,50.00,215.00,187.00,52.00,1,27.88,0.81,425.00,42.27,Warning
2026-01-01T08:55:00,server_012,62.00,53.00,246.00,160.00,58.00,1,28.04,0.78,462.00,43.91,Warning
2026-01-01T09:00:00,server_049,70.00,59.00,254.00,224.00,45.00,2,28.23,0.82,510.00,45.55,Critical
2026-01-01T09:05:00,server_036,69.00,70.00,249.00,262.00,27.00,2,29.88,0.78,531.00,47.26,Critical
2026-01-01T09:10:00,server_021,54.00,47.00,115.00,240.00,37.00,3,27.62,0.78,453.00,43.08,Warning
2026-01-01T09:15:00,server_017,62.00,64.00,214.00,139.00,37.00,2,28.75,0.77,481.00,44.42,Warning
2026-01-01T09:20:00,server_029,59.00,51.00,117.00,168.00,31.00,2,29.17,0.77,466.00,43.93,Warning
2026-01-01T09:25:00,server_025,57.00,57.00,195.00,388.00,34.00,2,30.18,0.82,475.00,44.10,Warning
2026-01-01T09:30:00,server_007,67.00,66.00,252.00,229.00,153.00,1,29.16,0.81,502.00,46.00,Critical
2026-01-01T09:35:00,server_014,51.00,50.00,192.00,214.00,20.00,1,29.12,0.75,401.00,42.38,Warning
2026-01-01T09:40:00,server_002,61.00,58.00,151.00,402.00,23.00,3,29.97,0.78,489.00,45.14,Critical
2026-01-01T09:45:00,server_025,54.00,40.00,189.00,348.00,34.00,2,27.52,0.76,430.00,42.10,Warning
2026-01-01T09:50:00,server_036,58.00,48.00,111.00,303.00,28.00,2,29.58,0.77,447.00,42.95,Warning
2026-01-01T09:55:00,server_049,57.00,61.00,133.00,233.00,76.00,2,28.60,0.77,472.00,44.56,Warning
2026-01-01T10:00:00,server_045,63.00,59.00,125.00,176.00,27.00,2,29.41,0.81,487.00,44.35,Warning
2026-01-01T10:05:00,server_041,60.00,48.00,117.00,275.00,139.00,3,28.90,0.82,498.00,45.07,Critical
2026-01-01T10:10:00,server_023,62.00,68.00,190.00,172.00,43.00,2,30.14,0.73,486.00,45.36,Critical
2026-01-01T10:15:00,server_015,67.00,53.00,198.00,361.00,90.00,1,30.34,0.77,489.00,45.78,Critical
2026-01-01T10:20:00,server_003,65.00,73.00,176.00,264.00,34.00,2,30.61,0.73,533.00,47.34,Critical
2026-01-01T10:25:00,server_043,55.00,57.00,208.00,328.00,36.00,2,30.59,0.79,450.00,44.00,Warning
2026-01-01T10:30:00,server_017,62.00,60.00,130.00,360.00,46.00,1,29.57,0.77,472.00,44.07,Warning
2026-01-01T10:35:00,server_021,54.00,57.00,140.00,165.00,102.00,2,30.53,0.79,462.00,43.34,Warning
2026-01-01T10:40:00,server_032,65.00,55.00,162.00,339.00,34.00,2,30.65,0.77,499.00,46.47,Critical
2026-01-01T10:45:00,server_034,55.00,42.00,241.00,242.00,25.00,3,29.11,0.78,449.00,42.14,Warning
2026-01-01T10:50:00,server_018,59.00,48.00,193.00,170.00,28.00,3,30.88,0.77,459.00,43.51,Warning
2026-01-01T10:55:00,server_041,67.00,50.00,207.00,275.00,49.00,1,30.80,0.78,489.00,45.19,Critical
2026-01-01T11:00:00,server_031,59.00,49.00,191.00,363.00,86.00,2,30.38,0.82,471.00,43.49,Warning
2026-01-01T11:05:00,server_022,68.00,52.00,245.00,161.00,137.00,2,29.44,0.72,500.00,46.12,Critical
2026-01-01T11:10:00,server_013,50.00,44.00,213.00,198.00,18.00,3,30.61,0.82,442.00,43.09,Warning
2026-01-01T11:15:00,server_050,64.00,56.00,171.00,420.00,52.00,2,30.38,0.81,512.00,45.10,Critical
2026-01-01T11:20:00,server_003,64.00,44.00,109.00,351.00,23.00,2,29.99,0.83,479.00,44.79,Warning
2026-01-01T11:25:00,server_002,71.00,58.00,319.00,176.00,42.00,2,30.20,0.83,509.00,45.95,Critical
2026-01-01T11:30:00,server_044,67.00,74.00,224.00,487.00,66.00,3,29.39,0.79,552.00,49.24,Critical
2026-01-01T11:35:00,server_032,69.00,64.00,185.00,372.00,94.00,2,30.79,0.72,510.00,47.21,Critical
2026-01-01T11:40:00,server_021,72.00,70.00,179.00,279.00,38.00,2,30.20,0.78,543.00,48.15,Critical
2026-01-01T11:45:00,server_019,61.00,54.00,230.00,343.00,65.00,2,31.65,0.73,494.00,45.75,Critical
2026-01-01T11:50:00,server_020,56.00,47.00,212.00,158.00,30.00,3,31.09,0.76,466.00,44.74,Warning
2026-01-01T11:55:00,server_030,63.00,50.00,161.00,429.00,35.00,2,31.86,0.79,480.00,46.16,Critical
2026-01-01T12:00:00,server_015,66.00,65.00,309.00,465.00,66.00,3,30.29,0.73,525.00,47.49,Critical
2026-01-01T12:05:00,server_005,78.00,78.00,283.00,514.00,55.00,1,31.02,0.74,562.00,50.71,Critical
2026-01-01T12:10:00,server_044,62.00,61.00,115.00,393.00,52.00,3,31.12,0.86,511.00,45.66,Critical
2026-01-01T12:15:00,server_029,64.00,46.00,232.00,326.00,123.00,2,31.18,0.79,499.00,46.59,Critical
2026-01-01T12:20:00,server_032,68.00,60.00,141.00,254.00,39.00,2,31.69,0.78,513.00,47.72,Critical
2026-01-01T12:25:00,server_001,71.00,66.00,197.00,260.00,180.00,2,30.92,0.79,529.00,47.73,Critical
2026-01-01T12:30:00,server_013,74.00,67.00,116.00,205.00,30.00,2,30.93,0.79,547.00,49.60,Critical
2026-01-01T12:35:00,server_038,64.00,46.00,157.00,402.00,30.00,3,30.95,0.77,497.00,45.91,Critical
2026-01-01T12:40:00,server_002,69.00,77.00,166.00,366.00,33.00,1,30.51,0.76,524.00,47.82,Critical
2026-01-01T12:45:00,server_024,60.00,72.00,128.00,378.00,31.00,1,32.06,0.78,467.00,47.28,Critical
2026-01-01T12:50:00,server_001,62.00,69.00,131.00,299.00,38.00,1,31.52,0.81,491.00,46.55,Critical
2026-01-01T12:55:00,server_040,71.00,60.00,156.00,244.00,42.00,2,31.32,0.76,519.00,47.14,Critical
2026-01-01T13:00:00,server_016,63.00,43.00,123.00,488.00,26.00,3,30.31,0.77,497.00,45.83,Critical
2026-01-01T13:05:00,server_022,85.00,56.00,254.00,201.00,103.00,2,30.38,0.74,563.00,50.00,Critical
2026-01-01T13:10:00,server_047,78.00,78.00,253.00,230.00,138.00,3,31.93,0.78,586.00,50.49,Critical
2026-01-01T13:15:00,server_017,72.00,53.00,189.00,531.00,42.00,2,29.82,0.76,538.00,46.90,Critical
2026-01-01T13:20:00,server_041,65.00,54.00,223.00,326.00,50.00,2,31.88,0.76,496.00,46.63,Critical
2026-01-01T13:25:00,server_050,82.00,84.00,147.00,382.00,68.00,2,30.11,0.77,582.00,50.95,Critical
2026-01-01T13:30:00,server_047,76.00,72.00,292.00,188.00,60.00,1,30.11,0.75,539.00,48.00,Critical
2026-01-01T13:35:00,server_045,70.00,70.00,276.00,302.00,55.00,1,32.04,0.76,498.00,47.65,Critical
2026-01-01T13:40:00,server_011,61.00,52.00,125.00,384.00,40.00,2,31.29,0.75,468.00,45.11,Critical
2026-01-01T13:45:00,server_022,84.00,49.00,193.00,465.00,43.00,2,29.63,0.76,572.00,50.39,Critical
2026-01-01T13:50:00,server_045,66.00,51.00,168.00,297.00,84.00,3,29.70,0.81,508.00,47.10,Critical
2026-01-01T13:55:00,server_023,62.00,70.00,201.00,432.00,101.00,2,31.30,0.77,504.00,47.32,Critical
2026-01-01T14:00:00,server_006,73.00,60.00,193.00,335.00,55.00,3,30.58,0.76,550.00,48.83,Critical
2026-01-01T14:05:00,server_036,76.00,56.00,283.00,174.00,51.00,1,30.96,0.78,514.00,48.43,Critical
2026-01-01T14:10:00,server_004,86.00,66.00,310.00,536.00,45.00,3,30.12,0.81,618.00,51.94,Critical
2026-01-01T14:15:00,server_043,67.00,52.00,294.00,328.00,116.00,2,29.05,0.77,500.00,46.44,Critical
2026-01-01T14:20:00,server_016,65.00,60.00,238.00,325.00,59.00,2,31.20,0.77,513.00,47.28,Critical
2026-01-01T14:25:00,server_011,79.00,84.00,283.00,486.00,34.00,1,30.71,0.74,567.00,51.30,Critical
2026-01-01T14:30:00,server_018,77.00,57.00,145.00,358.00,87.00,1,29.73,0.81,536.00,47.94,Critical
2026-01-01T14:35:00,server_004,64.00,41.00,170.00,366.00,53.00,3,29.02,0.79,493.00,45.39,Critical
2026-01-01T14:40:00,server_028,57.00,55.00,191.00,229.00,59.00,2,31.02,0.79,456.00,44.18,Warning
2026-01-01T14:45:00,server_008,74.00,80.00,270.00,432.00,43.00,1,30.02,0.84,555.00,50.01,Critical
2026-01-01T14:50:00,server_001,68.00,50.00,297.00,179.00,37.00,2,30.38,0.78,503.00,46.85,Critical
2026-01-01T14:55:00,server_035,69.00,66.00,302.00,265.00,90.00,3,31.52,0.82,541.00,46.93,Critical
2026-01-01T15:00:00,server_049,68.00,54.00,272.00,246.00,114.00,2,27.94,0.82,513.00,46.66,Critical
2026-01-01T15:05:00,server_011,66.00,72.00,250.00,297.00,66.00,2,29.55,0.81,512.00,47.01,Critical
2026-01-01T15:10:00,server_042,80.00,66.00,239.00,314.00,39.00,3,29.71,0.78,581.00,50.22,Critical
2026-01-01T15:15:00,server_049,60.00,49.00,93.00,353.00,70.00,1,27.83,0.87,447.00,42.49,Warning
2026-01-01T15:20:00,server_007,78.00,69.00,233.00,310.00,55.00,2,29.60,0.79,561.00,49.48,Critical
2026-01-01T15:25:00,server_005,65.00,56.00,102.00,241.00,32.00,3,29.36,0.80,500.00,45.93,Critical
2026-01-01T15:30:00,server_002,76.00,72.00,296.00,186.00,30.00,1,28.59,0.71,544.00,48.51,Critical
2026-01-01T15:35:00,server_008,74.00,65.00,216.00,351.00,66.00,2,28.88,0.71,544.00,49.80,Critical
2026-01-01T15:40:00,server_049,77.00,52.00,279.00,274.00,52.00,2,28.84,0.73,552.00,49.02,Critical
2026-01-01T15:45:00,server_004,70.00,71.00,278.00,455.00,58.00,3,28.96,0.74,566.00,48.14,Critical
2026-01-01T15:50:00,server_023,76.00,76.00,104.00,440.00,62.00,1,29.65,0.80,539.00,47.73,Critical
2026-01-01T15:55:00,server_039,73.00,68.00,317.00,345.00,48.00,2,29.29,0.79,545.00,48.22,Critical
2026-01-01T16:00:00,server_009,64.00,52.00,107.00,455.00,25.00,1,27.89,0.77,476.00,44.39,Warning
2026-01-01T16:05:00,server_034,70.00,68.00,209.00,188.00,48.00,2,27.56,0.75,523.00,47.36,Critical
2026-01-01T16:10:00,server_028,64.00,48.00,218.00,483.00,46.00,1,27.61,0.78,478.00,44.15,Warning
2026-01-01T16:15:00,server_025,78.00,63.00,343.00,565.00,59.00,2,28.23,0.74,561.00,49.67,Critical
2026-01-01T16:20:00,server_030,71.00,72.00,216.00,329.00,71.00,2,25.97,0.75,540.00,46.74,Critical
2026-01-01T16:25:00,server_017,60.00,51.00,182.00,373.00,92.00,2,27.36,0.83,462.00,42.96,Warning
2026-01-01T16:30:00,server_050,67.00,53.00,135.00,435.00,49.00,1,27.56,0.83,470.00,44.03,Warning
2026-01-01T16:35:00,server_049,65.00,70.00,161.00,497.00,37.00,1,27.80,0.72,508.00,47.01,Critical
2026-01-01T16:40:00,server_042,72.00,55.00,288.00,504.00,43.00,2,28.51,0.73,533.00,49.03,Critical
2026-01-01T16:45:00,server_049,61.00,45.00,277.00,303.00,41.00,2,28.16,0.75,466.00,44.62,Warning
2026-01-01T16:50:00,server_028,67.00,64.00,137.00,370.00,100.00,2,26.92,0.81,513.00,44.84,Warning
2026-01-01T16:55:00,server_050,72.00,49.00,164.00,405.00,31.00,3,28.22,0.86,533.00,46.00,Critical
2026-01-01T17:00:00,server_042,53.00,49.00,95.00,346.00,26.00,1,25.45,0.75,426.00,41.11,Warning
2026-01-01T17:05:00,server_020,64.00,54.00,174.00,292.00,39.00,2,25.06,0.76,488.00,45.22,Critical
2026-01-01T17:10:00,server_040,68.00,82.00,206.00,196.00,81.00,2,25.83,0.78,550.00,46.88,Critical
2026-01-01T17:15:00,server_025,68.00,49.00,287.00,327.00,43.00,1,25.70,0.68,497.00,46.06,Critical
2026-01-01T17:20:00,server_027,65.00,55.00,120.00,335.00,30.00,2,24.57,0.81,501.00,45.05,Critical
2026-01-01T17:25:00,server_042,69.00,47.00,221.00,441.00,25.00,1,25.96,0.76,493.00,44.51,Warning
2026-01-01T17:30:00,server_006,57.00,54.00,197.00,371.00,73.00,2,25.60,0.77,466.00,42.73,Warning
2026-01-01T17:35:00,server_008,57.00,47.00,119.00,249.00,24.00,2,24.89,0.77,450.00,42.36,Warning
2026-01-01T17:40:00,server_045,60.00,52.00,146.00,328.00,40.00,2,25.03,0.74,480.00,43.05,Warning
2026-01-01T17:45:00,server_026,65.00,71.00,171.00,365.00,108.00,1,25.61,0.75,512.00,44.82,Warning
2026-01-01T17:50:00,server_003,63.00,58.00,140.00,246.00,35.00,1,25.49,0.75,467.00,43.27,Warning
2026-01-01T17:55:00,server_021,66.00,74.00,148.00,180.00,184.00,1,25.68,0.81,501.00,45.83,Critical
2026-01-01T18:00:00,server_020,62.00,61.00,116.00,184.00,62.00,2,23.44,0.70,475.00,44.37,Warning
2026-01-01T18:05:00,server_019,71.00,61.00,261.00,223.00,57.00,2,23.13,0.81,536.00,45.98,Critical
2026-01-01T18:10:00,server_010,60.00,47.00,100.00,188.00,74.00,3,23.05,0.79,470.00,40.78,Warning
2026-01-01T18:15:00,server_029,67.00,66.00,285.00,416.00,73.00,3,24.84,0.78,542.00,46.93,Critical
2026-01-01T18:20:00,server_007,67.00,56.00,228.00,463.00,124.00,3,24.02,0.81,513.00,45.20,Critical
2026-01-01T18:25:00,server_046,62.00,45.00,215.00,172.00,40.00,2,24.28,0.80,466.00,43.71,Warning
2026-01-01T18:30:00,server_022,68.00,53.00,229.00,348.00,64.00,3,22.85,0.75,519.00,44.03,Warning
2026-01-01T18:35:00,server_010,65.00,63.00,123.00,323.00,29.00,2,24.25,0.81,505.00,44.44,Warning
2026-01-01T18:40:00,server_041,52.00,64.00,143.00,343.00,36.00,2,24.66,0.79,460.00,42.94,Warning
2026-01-01T18:45:00,server_033,58.00,64.00,180.00,215.00,32.00,1,24.22,0.72,461.00,43.63,Warning
2026-01-01T18:50:00,server_021,71.00,62.00,297.00,243.00,98.00,2,24.71,0.76,515.00,45.99,Critical
2026-01-01T18:55:00,server_038,74.00,70.00,189.00,210.00,88.00,2,25.62,0.85,542.00,45.95,Critical
2026-01-01T19:00:00,server_018,60.00,61.00,240.00,409.00,28.00,3,21.79,0.79,505.00,43.40,Warning
2026-01-01T19:05:00,server_004,56.00,51.00,110.00,422.00,37.00,1,21.65,0.75,436.00,41.45,Warning
2026-01-01T19:10:00,server_041,57.00,55.00,204.00,386.00,24.00,2,22.93,0.82,466.00,42.28,Warning
2026-01-01T19:15:00,server_034,53.00,53.00,203.00,210.00,103.00,2,22.68,0.85,435.00,40.30,Warning
2026-01-01T19:20:00,server_012,54.00,48.00,234.00,329.00,132.00,2,21.93,0.81,449.00,41.11,Warning
2026-01-01T19:25:00,server_047,60.00,60.00,201.00,271.00,39.00,3,22.39,0.76,492.00,43.32,Warning
